Page ID,Page name,Disclaimer,Amount spent (EUR),Number of ads in Library
1150185098382760,Fraternité générale,Fraternité Générale,34597.0,193
103076777777022,My Little Bee,These ads ran without a disclaimer,34518.0,104
512413372428054,Macif,L'Essentiel par Macif,34444.0,202
108961334029224,Ekō en français,Ekō,34417.0,39
103906211029800,Protégeons les droits des filles réfugiées,Antevenio Publicité,34372.0,777
229366650431028,BICE - Bureau International Catholique de l'Enfance,BICE - Bureau International Catholique de l'Enfance,34217.0,859
112274740305770,Sauvons les koalas,These ads ran without a disclaimer,34094.0,640
141960165823353,Gustave Roussy,Gustave Roussy,33990.0,245
225248330547,Radio France,Radio France,33912.0,228
105464744312716,Mon-Comparateur.fr,These ads ran without a disclaimer,33740.0,49
105439357509813,Epanda,Guillaume Martin,33720.0,923
280037833461,ALIMA,ALIMA,33182.0,373
1717696765155553,Veolia Eau d'Ile-de-France,These ads ran without a disclaimer,33129.0,4242
115053675196280,Nana,Nana,33043.0,3
189257527619,France Nature Environnement,France Nature Environnement,33038.0,52
376828926453369,Mon énergie solidaire,These ads ran without a disclaimer,33033.0,126
49173930702,Le Point,These ads ran without a disclaimer,33018.0,197
1981871332106127,Programme pour la Transition Energétique,These ads ran without a disclaimer,32942.0,282
101106058167117,Green Management School,MediaSchool,32931.0,178
788486567982191,Direction Générale des Douanes et Droits Indirects,La Direction Générale des Douanes et Droits Indirects (DGDDI),32917.0,15
124821480532,Max Havelaar France,Max Havelaar France,32559.0,247
363625503719215,Défenseur des droits,Défenseur des droits,32500.0,9
154763104543358,World Vision France,World Vision France,32495.0,85
105494544395779,Nouvelle Réduction d'impôt 2020,These ads ran without a disclaimer,32220.0,318
588914984589986,Mutualité Fonction Publique,Mutualité Fonction Publique,32105.0,38
100845797055125,LinkedIn,These ads ran without a disclaimer,32066.0,6
169065407139584,Tilt,Tilt,32064.0,36
297744124702,Mercedes-Benz France,These ads ran without a disclaimer,31949.0,10
298009277375,Škoda,These ads ran without a disclaimer,31852.0,8
518052594873131,Purpoz,Parlement & Citoyens,31639.0,184
158609180861860,Ministère Écologie Territoires,Ministères Écologie Énergie Territoires,31337.0,7
620603471382277,Memento Distribution,Memento Films Distribution,31067.0,267
158609180861860,Ministère Écologie Territoires,Ministère Écologie Territoires,31012.0,8
38803022844,Haut et Court,Luckytime,30636.0,423
108896117589490,Opera News Germany,These ads ran without a disclaimer,30636.0,5
237822849665127,Handi'Chiens,Handi'Chiens,30471.0,617
105961258357742,NOWU,France Télévisions,30362.0,60
526348997710227,No plastic in my sea,No plastic in my sea,29239.0,158
341942132652310,Ministère de la Santé,These ads ran without a disclaimer,29211.0,16
335960503093998,Avenir de la Culture,Avenir de la Culture,29202.0,114
154418871253173,Harmonie Mutuelle,Harmonie Mutuelle,29099.0,63
108767337651693,Mes Aides Energie,These ads ran without a disclaimer,28807.0,862
358478628257486,Canopée,Canopée,28773.0,237
178362315106,European Parliament,These ads ran without a disclaimer,28763.0,33
113096307692289,ADF International France,ADF International,28736.0,172
338879540636092,Driscoll's,These ads ran without a disclaimer,28690.0,15
1731162750449819,Région Nouvelle-Aquitaine,Région Nouvelle-Aquitaine,28597.0,44
237946106299568,Cafeyn FR,Cafeyn,28562.0,102
1415350452093573,ONU Femmes France,ONU Femmes France,28522.0,86
16970370254,Selectra,These ads ran without a disclaimer,28412.0,283
386684741892399,Accord Sénior,These ads ran without a disclaimer,28351.0,552
2121634984823131,Lambervalisolation.COM,FELIX PEREZ,28303.0,85
145096738997224,Ministère de l'Enseignement Supérieur et de la Recherche,Ministère de l'Enseignement Supérieur et de la Recherche,28207.0,11
1030528233746321,Le mouvement,le mouvement,27774.0,1632
207251779638,Ville de Paris,Ville de Paris,27444.0,101
623913934364235,Solidarité Laïque,Solidarité Laïque,27362.0,393
100320031319196,Isolation 1€,These ads ran without a disclaimer,26931.0,21
105352737996318,Les aides à la Rénovation Énergétique,These ads ran without a disclaimer,26870.0,141
475475545864761,Curieux,Curieux,26802.0,396
301330928866,IVG : vous hésitez ? Venez en parler !,These ads ran without a disclaimer,26725.0,169
482625248609253,Devis.io,Dolead,26717.0,1001
219062948053,Alternatives économiques,These ads ran without a disclaimer,26470.0,769
86539967660,Agir Pour l'Environnement,Agir pour l'Environnement,26458.0,202
454724341400431,Grundfos,These ads ran without a disclaimer,26391.0,27
108030868322029,AB6,These ads ran without a disclaimer,26372.0,71
2363689583957802,Nouvelle Réduction d'Impôt 2021,These ads ran without a disclaimer,26311.0,107
177200762379537,Ad Vitam,Lucky Time,26293.0,393
840589819457002,Break Poverty Foundation,Break Poverty Foundation,26107.0,518
108397722049,Planète OUI,Planète OUI,26054.0,371
2596948620379396,Teréga,Teréga,25896.0,116
200661534149151,Pompe à Chaleur,These ads ran without a disclaimer,25767.0,133
503951883021764,ShareTheMeal,These ads ran without a disclaimer,25708.0,86
186862581340655,"Cap-Vietnam, le Vietnam pour et  par les internautes","Cap-Vietnam, le Vietnam pour et  par les internautes",25670.0,9
100465908595630,Placements Malins 2022,These ads ran without a disclaimer,25531.0,30
884445694984443,La Région Occitanie / Pyrénées-Méditerranée,La Région Occitanie,25381.0,37
113434835339857,France Bleu,These ads ran without a disclaimer,25279.0,28
305608429284,EU Environment,EU Environment,25251.0,28
784009015121501,Kendy Polestin,These ads ran without a disclaimer,25141.0,33
116492990123553,Astuces Defisc,These ads ran without a disclaimer,25091.0,46
147048768660936,La Roche-Posay,La Roche-Posay,25082.0,11
364936960317601,Mondafrique,Nicolas Beau,25059.0,768
170226609767630,AXA,AXA,25058.0,43
251392798059187,"Ma Voix, Mon Choix",Ma Voix Mon Choix,25043.0,116
114561573267434,Infodon,Institut pour le Développement des Générosités,24833.0,460
237946106299568,Cafeyn FR,These ads ran without a disclaimer,24828.0,61
730681673751055,"Médicis, la mutuelle retraite des indépendants et entrepreneurs",Mediaplus France,24808.0,85
187587769643,StreetPress,StreetPress,24742.0,154
910865675611450,Croustipate,Croustipate,24708.0,17
109718867146100,Aides De l'Habitat,These ads ran without a disclaimer,24595.0,43
261378092727,Spotify,Spotify France,24513.0,9
15087023444,Nike,These ads ran without a disclaimer,24479.0,4
192583130787628,Réel média,Réel média,24304.0,326
139663936132117,Le Point Événements,LE POINT,24300.0,219
252567427951114,Donnez de la Voix,Full Beam Media,24208.0,133
117200981662779,BASF,These ads ran without a disclaimer,24098.0,13
110264154014366,Les Gargouilles,LES GARGOUILLES,24010.0,92
545829029103459,Institut du Pont-Neuf,Fondation du Pont-Neuf,23929.0,38
102952821123044,Vmc-1euro.fr,LA PLATEFORME DU LEAD,23896.0,98
194210463958714,INA,L'Institut National de l'Audiovisuel (INA),23839.0,122
457316367752668,Info'Com-CGT,Info'Com-CGT,23799.0,381
144435342299306,La Méridionale,La Méridionale,23781.0,419
144056732332683,CANAL+,These ads ran without a disclaimer,23691.0,31
721787671263055,Banque Française Mutualiste,Banque Française Mutualiste,23517.0,74
147217678703876,Jour2Fête,Jour2Fête,23512.0,643
48643220735,PLANETE URGENCE,Planète Urgence,23469.0,1176
713321172508970,Energie gratuite,These ads ran without a disclaimer,23447.0,25
58523373944,ARTE,Arte,23408.0,126
110422427164783,isolations-1euro-artisan.com,LA PLATEFORME DU LEAD,23268.0,62
103692711104070,Écobag'S,Romain Alexandre Clairand,23227.0,690
106318370709727,Écolid,Romain Alexandre Clairand,23185.0,459
123462977715125,Terre de Liens,Terre de Liens,23182.0,414
123875660969932,ENGIE,These ads ran without a disclaimer,23139.0,171
383882575328659,GRTgaz,These ads ran without a disclaimer,23088.0,165
114128620230242,Front Populaire,Front Populaire,23008.0,185
249746315082158,Fondation Le Refuge,Fondation Le Refuge,22859.0,79
102904124587662,Energie-verte.io,Dolead,22753.0,125
886390848092524,TGV INOUI,TGV INOUI,22738.0,3
112044360267952,France Écologie,France Écologie,22597.0,87
414061651942659,Apec - Association Pour l'Emploi des Cadres,Apec - Association Pour l'Emploi des Cadres,22525.0,4
